uniqueid,plotid,timestamp,Tile Flow (mm)
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
WATERMAN,4,2013-02-11 00:00:00-05:00,3.02492
WATERMAN,11,2013-02-11 00:00:00-05:00,1.3028
WATERMAN,1,2013-02-11 00:00:00-05:00,1.04734
WATERMAN,6,2013-02-11 00:00:00-05:00,1.65648
WATERMAN,12,2013-02-11 00:00:00-05:00,1.92233
WATERMAN,11,2013-03-12 01:00:00-04:00,2.17909
WATERMAN,4,2013-03-12 01:00:00-04:00,11.3677
WATERMAN,1,2013-03-12 01:00:00-04:00,2.79708
WATERMAN,6,2013-03-12 01:00:00-04:00,2.9402
WATERMAN,12,2013-03-12 01:00:00-04:00,3.33997
WATERMAN,6,2013-05-30 01:00:00-04:00,10.3609
WATERMAN,12,2013-05-30 01:00:00-04:00,8.64488
WATERMAN,4,2013-05-30 01:00:00-04:00,24.9768
WATERMAN,1,2013-05-30 01:00:00-04:00,7.59556
WATERMAN,11,2013-05-30 01:00:00-04:00,5.70389
WATERMAN,6,2013-06-28 01:00:00-04:00,0.0
WATERMAN,11,2013-06-28 01:00:00-04:00,0.115735
WATERMAN,1,2013-06-28 01:00:00-04:00,0.026504
WATERMAN,12,2013-06-28 01:00:00-04:00,0.000883
WATERMAN,4,2013-06-28 01:00:00-04:00,0.273877
WATERMAN,12,2013-07-11 01:00:00-04:00,0.416238
WATERMAN,11,2013-07-11 01:00:00-04:00,0.928713
WATERMAN,4,2013-07-11 01:00:00-04:00,2.02456
WATERMAN,1,2013-07-11 01:00:00-04:00,0.812674
WATERMAN,6,2013-07-11 01:00:00-04:00,1.4705
WATERMAN,4,2013-08-07 01:00:00-04:00,1.61301
WATERMAN,1,2013-08-07 01:00:00-04:00,0.783885
WATERMAN,6,2013-08-07 01:00:00-04:00,1.24698
WATERMAN,11,2013-08-07 01:00:00-04:00,0.514913
WATERMAN,12,2013-08-07 01:00:00-04:00,0.946748
WATERMAN,1,2013-09-03 01:00:00-04:00,0.0
WATERMAN,4,2013-09-03 01:00:00-04:00,0.0
WATERMAN,12,2013-09-03 01:00:00-04:00,0.0
WATERMAN,11,2013-09-03 01:00:00-04:00,0.0
WATERMAN,6,2013-09-03 01:00:00-04:00,0.0
WATERMAN,6,2013-10-29 01:00:00-04:00,0.119421
WATERMAN,11,2013-10-29 01:00:00-04:00,0.457213
WATERMAN,4,2013-10-29 01:00:00-04:00,2.13593
WATERMAN,1,2013-10-29 01:00:00-04:00,2.42766
WATERMAN,12,2013-10-29 01:00:00-04:00,0.16719
WATERMAN,4,2013-12-28 00:00:00-05:00,15.4072
WATERMAN,12,2013-12-28 00:00:00-05:00,7.10313
WATERMAN,1,2013-12-28 00:00:00-05:00,7.13237
WATERMAN,6,2013-12-28 00:00:00-05:00,12.2998
WATERMAN,11,2013-12-28 00:00:00-05:00,6.02285
