uniqueid,plotid,timestamp,"Nitrate-N Concentration, mg N / L"
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
DPAC,SW,2011-01-04 05:00:00,6.765
DPAC,NE,2011-01-04 05:00:00,8.534
DPAC,NE,2011-01-07 05:00:00,8.52
DPAC,SW,2011-01-07 05:00:00,6.47
DPAC,SW,2011-01-13 05:00:00,6.052
DPAC,NE,2011-01-13 05:00:00,7.553
DPAC,NE,2011-01-19 05:00:00,6.283
DPAC,SW,2011-01-19 05:00:00,3.836
DPAC,NE,2011-01-21 05:00:00,7.283
DPAC,SW,2011-01-21 05:00:00,4.098
DPAC,SW,2011-01-31 05:00:00,2.621
DPAC,NE,2011-01-31 05:00:00,6.041
DPAC,SW,2011-02-03 05:00:00,2.183
DPAC,NE,2011-02-03 05:00:00,5.843
DPAC,NE,2011-02-10 05:00:00,5.957
DPAC,SW,2011-02-14 05:00:00,5.024
DPAC,SE,2011-02-14 05:00:00,3.588
DPAC,NE,2011-02-14 05:00:00,6.212
DPAC,SW,2011-02-17 05:00:00,5.702
DPAC,NW,2011-02-17 05:00:00,6.563
DPAC,NE,2011-02-17 05:00:00,6.504
DPAC,SE,2011-02-17 05:00:00,3.224
DPAC,SE,2011-02-21 05:00:00,4.721
DPAC,SW,2011-02-21 05:00:00,6.959
DPAC,NE,2011-02-21 05:00:00,7.582
DPAC,NW,2011-02-21 05:00:00,6.941
DPAC,SW,2011-02-23 05:00:00,6.788
DPAC,NE,2011-02-23 05:00:00,7.747
DPAC,NW,2011-02-23 05:00:00,7.568
DPAC,SE,2011-02-23 05:00:00,8.176
DPAC,SE,2011-03-11 05:00:00,3.5
DPAC,NW,2011-03-11 05:00:00,5.9
DPAC,NE,2011-03-11 05:00:00,6.677
DPAC,SW,2011-03-11 05:00:00,5.6
DPAC,NE,2011-03-18 05:00:00,7.466
DPAC,SE,2011-03-18 05:00:00,8.275
DPAC,SW,2011-03-18 05:00:00,5.171
DPAC,NW,2011-03-18 05:00:00,6.797
DPAC,NW,2011-03-28 05:00:00,8.0
DPAC,NE,2011-03-28 05:00:00,7.6
DPAC,SW,2011-03-28 05:00:00,5.9
DPAC,SE,2011-03-28 05:00:00,8.6
DPAC,SW,2011-03-31 05:00:00,5.4
DPAC,NE,2011-03-31 05:00:00,7.8
DPAC,SE,2011-04-05 05:00:00,8.884
DPAC,NE,2011-04-05 05:00:00,7.4
DPAC,NW,2011-04-05 05:00:00,8.294
DPAC,SW,2011-04-08 05:00:00,6.059
DPAC,NE,2011-04-08 05:00:00,7.9
DPAC,SE,2011-04-08 05:00:00,7.8
DPAC,NW,2011-04-08 05:00:00,8.0
DPAC,NE,2011-04-12 05:00:00,4.4
DPAC,NW,2011-04-12 05:00:00,7.0
DPAC,SE,2011-04-12 05:00:00,6.3
DPAC,SW,2011-04-12 05:00:00,6.0
