uniqueid,plotid,timestamp,"Nitrate-N Concentration, mg N / L"
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
GILMORE,14.1,2011-04-05 06:00:00,8.55
GILMORE,4.1,2011-04-05 06:00:00,4.45
GILMORE,3.1,2011-04-05 06:00:00,6.44
GILMORE,19.2,2011-04-05 06:00:00,20.17
GILMORE,6.2,2011-04-05 06:00:00,9.17
GILMORE,11.2,2011-04-05 06:00:00,12.75
GILMORE,12.3,2011-04-05 06:00:00,11.31
GILMORE,16.2,2011-04-05 06:00:00,10.97
GILMORE,3.2,2011-04-05 06:00:00,7.36
GILMORE,22.1,2011-04-05 06:00:00,7.26
GILMORE,19.3,2011-04-05 06:00:00,11.61
GILMORE,16.3,2011-04-05 06:00:00,6.83
GILMORE,21.3,2011-04-05 06:00:00,20.21
GILMORE,9.3,2011-04-05 06:00:00,8.76
GILMORE,17.3,2011-04-05 06:00:00,13.43
GILMORE,4.2,2011-04-05 06:00:00,2.56
GILMORE,23.1,2011-04-05 06:00:00,12.04
GILMORE,17.1,2011-04-05 06:00:00,7.65
GILMORE,11.1,2011-04-05 06:00:00,10.17
GILMORE,12.2,2011-04-05 06:00:00,14.93
GILMORE,7.3,2011-04-05 06:00:00,8.58
GILMORE,3.2,2011-04-12 06:00:00,7.36
GILMORE,6.2,2011-04-12 06:00:00,9.06
GILMORE,17.1,2011-04-12 06:00:00,7.65
GILMORE,22.1,2011-04-12 06:00:00,8.21
GILMORE,3.1,2011-04-12 06:00:00,6.44
GILMORE,11.1,2011-04-12 06:00:00,9.62
GILMORE,26.2,2011-04-12 06:00:00,8.23
GILMORE,7.3,2011-04-12 06:00:00,8.58
GILMORE,16.3,2011-04-12 06:00:00,6.31
GILMORE,16.2,2011-04-12 06:00:00,11.47
GILMORE,11.2,2011-04-12 06:00:00,13.27
GILMORE,12.3,2011-04-12 06:00:00,10.76
GILMORE,19.2,2011-04-12 06:00:00,20.17
GILMORE,9.3,2011-04-12 06:00:00,8.605
GILMORE,19.2,2011-04-21 06:00:00,20.17
GILMORE,6.2,2011-04-21 06:00:00,8.45
GILMORE,23.1,2011-04-21 06:00:00,12.04
GILMORE,17.3,2011-04-21 06:00:00,13.43
GILMORE,19.3,2011-04-21 06:00:00,11.61
GILMORE,3.1,2011-04-21 06:00:00,7.32
GILMORE,17.1,2011-04-21 06:00:00,7.65
GILMORE,4.1,2011-04-21 06:00:00,4.45
GILMORE,14.1,2011-04-21 06:00:00,8.55
GILMORE,4.2,2011-04-21 06:00:00,2.56
GILMORE,9.3,2011-04-21 06:00:00,8.45
GILMORE,21.3,2011-04-21 06:00:00,20.21
GILMORE,12.3,2011-04-21 06:00:00,10.3
GILMORE,22.1,2011-04-21 06:00:00,9.16
GILMORE,26.2,2011-04-21 06:00:00,8.23
GILMORE,11.2,2011-04-21 06:00:00,11.43
