uniqueid,plotid,timestamp,"Nitrate-N Concentration, mg N / L"
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
HICKS.B,BE,2011-05-02 06:00:00,5.37
HICKS.B,BW,2011-05-02 06:00:00,8.32
HICKS.B,BW,2011-05-02 07:00:00,8.08
HICKS.B,BE,2011-05-02 07:00:00,5.28
HICKS.B,BE,2011-05-02 08:00:00,5.32
HICKS.B,BE,2011-05-02 09:00:00,5.28
HICKS.B,BE,2011-05-02 10:00:00,5.35
HICKS.B,BE,2011-05-02 11:00:00,5.31
HICKS.B,BE,2011-05-02 12:00:00,5.33
HICKS.B,BE,2011-05-02 13:00:00,5.31
HICKS.B,BE,2011-05-02 14:00:00,5.31
HICKS.B,BE,2011-05-02 15:00:00,5.17
HICKS.B,BE,2011-05-02 16:00:00,4.99
HICKS.B,BE,2011-05-02 17:00:00,4.99
HICKS.B,BE,2011-05-02 18:00:00,5.0
HICKS.B,BE,2011-05-02 19:00:00,5.02
HICKS.B,BE,2011-05-02 20:00:00,5.02
HICKS.B,BE,2011-05-02 21:00:00,5.03
HICKS.B,BE,2011-05-02 22:00:00,5.03
HICKS.B,BE,2011-05-02 23:00:00,5.03
HICKS.B,BE,2011-05-03 00:00:00,5.03
HICKS.B,BE,2011-05-03 01:00:00,5.07
HICKS.B,BE,2011-05-03 02:00:00,4.97
HICKS.B,BE,2011-05-03 03:00:00,5.03
HICKS.B,BE,2011-05-03 04:00:00,5.04
HICKS.B,BE,2011-05-03 05:00:00,5.02
HICKS.B,BE,2011-05-17 06:00:00,5.25
HICKS.B,BW,2011-05-17 06:00:00,7.74
HICKS.B,BW,2011-05-17 07:00:00,7.62
HICKS.B,BE,2011-05-17 07:00:00,5.21
HICKS.B,BW,2011-05-17 08:00:00,7.09
HICKS.B,BE,2011-05-17 08:00:00,5.13
HICKS.B,BE,2011-05-17 09:00:00,5.14
HICKS.B,BW,2011-05-17 09:00:00,6.51
HICKS.B,BE,2011-05-17 10:00:00,5.17
HICKS.B,BW,2011-05-17 10:00:00,6.28
HICKS.B,BE,2011-05-17 11:00:00,5.07
HICKS.B,BW,2011-05-17 11:00:00,5.66
HICKS.B,BE,2011-05-17 12:00:00,4.94
HICKS.B,BW,2011-05-17 12:00:00,7.26
HICKS.B,BW,2011-05-17 13:00:00,7.17
HICKS.B,BE,2011-05-17 13:00:00,4.98
HICKS.B,BW,2011-05-17 14:00:00,7.61
HICKS.B,BE,2011-05-17 14:00:00,5.04
HICKS.B,BE,2011-05-17 15:00:00,4.86
HICKS.B,BE,2011-05-17 16:00:00,5.06
HICKS.B,BW,2011-05-24 06:00:00,7.44
HICKS.B,BE,2011-05-24 06:00:00,5.38
HICKS.B,BW,2011-05-24 07:00:00,6.43
HICKS.B,BE,2011-05-24 07:00:00,5.52
HICKS.B,BE,2011-05-24 08:00:00,5.67
