uniqueid,plotid,timestamp,"Nitrate-N Concentration, mg N / L"
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
SERF,S5,2011-01-25 06:00:00,6.5
SERF,S2,2011-01-25 06:00:00,5.19
SERF,S4,2011-01-25 06:00:00,7.26
SERF,S1,2011-01-25 06:00:00,10.17
SERF,S6,2011-01-25 06:00:00,8.16
SERF,S3,2011-01-25 06:00:00,5.43
SERF,S2,2011-04-18 06:00:00,4.57
SERF,S5,2011-04-18 06:00:00,6.3
SERF,S2,2011-04-21 06:00:00,5.33
SERF,S5,2011-04-21 06:00:00,6.53
SERF,S4,2011-04-21 06:00:00,6.66
SERF,S3,2011-04-21 06:00:00,4.84
SERF,S6,2011-04-21 06:00:00,7.88
SERF,S1,2011-04-21 06:00:00,9.76
SERF,S1,2011-04-28 06:00:00,9.83
SERF,S2,2011-04-28 06:00:00,5.54
SERF,S6,2011-04-28 06:00:00,8.16
SERF,S3,2011-04-28 06:00:00,5.18
SERF,S5,2011-04-28 06:00:00,6.62
SERF,S4,2011-04-28 06:00:00,6.78
SERF,S5,2011-05-04 06:00:00,6.56
SERF,S2,2011-05-04 06:00:00,4.82
SERF,S2,2011-05-05 06:00:00,4.86
SERF,S4,2011-05-16 06:00:00,7.36
SERF,S1,2011-05-16 06:00:00,10.75
SERF,S3,2011-05-16 06:00:00,6.16
SERF,S2,2011-05-16 06:00:00,6.51
SERF,S5,2011-05-16 06:00:00,7.22
SERF,S6,2011-05-16 06:00:00,9.71
SERF,S5,2011-05-23 06:00:00,7.21
SERF,S2,2011-05-23 06:00:00,5.92
SERF,S3,2011-05-23 06:00:00,5.41
SERF,S4,2011-05-26 06:00:00,9.71
SERF,S1,2011-05-26 06:00:00,14.54
SERF,S6,2011-05-26 06:00:00,11.53
SERF,S3,2011-05-26 06:00:00,9.79
SERF,S2,2011-05-26 06:00:00,10.3
SERF,S5,2011-05-26 06:00:00,9.53
SERF,S6,2011-05-31 06:00:00,10.17
SERF,S1,2011-05-31 06:00:00,11.75
SERF,S3,2011-05-31 06:00:00,7.33
SERF,S4,2011-05-31 06:00:00,8.63
SERF,S2,2011-05-31 06:00:00,7.46
SERF,S5,2011-05-31 06:00:00,7.98
SERF,S2,2011-06-16 06:00:00,10.22
SERF,S6,2011-06-16 06:00:00,11.93
SERF,S5,2011-06-16 06:00:00,10.79
SERF,S3,2011-06-16 06:00:00,10.72
SERF,S4,2011-06-16 06:00:00,10.07
SERF,S1,2011-06-16 06:00:00,12.99
SERF,S4,2011-06-20 06:00:00,10.33
SERF,S1,2011-06-20 06:00:00,12.6
SERF,S2,2011-06-20 06:00:00,9.25
SERF,S5,2011-06-20 06:00:00,9.38
SERF,S6,2011-06-20 06:00:00,10.19
SERF,S3,2011-06-20 06:00:00,8.97
SERF,S5,2011-06-23 06:00:00,9.59
