uniqueid,plotid,timestamp,"Nitrate-N Concentration, mg N / L"
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
STJOHNS,WN,2011-01-13 05:00:00,11.1898
STJOHNS,WS,2011-01-13 05:00:00,8.0943
STJOHNS,WS,2011-03-01 05:00:00,7.2184
STJOHNS,WN,2011-03-01 05:00:00,9.8044
STJOHNS,WS,2011-03-08 05:00:00,12.6789
STJOHNS,WN,2011-03-08 05:00:00,12.6277
STJOHNS,WN,2011-03-31 05:00:00,13.2778
STJOHNS,WS,2011-03-31 05:00:00,12.6917
STJOHNS,WS,2011-04-08 05:00:00,11.2418
STJOHNS,WN,2011-04-08 05:00:00,12.1353
STJOHNS,WN,2011-05-09 05:00:00,11.4515
STJOHNS,WS,2011-05-09 05:00:00,10.3993
STJOHNS,WS,2011-06-01 05:00:00,9.889
STJOHNS,WN,2011-06-01 05:00:00,10.699
STJOHNS,WS,2011-06-16 05:00:00,9.1201
STJOHNS,WN,2011-06-16 05:00:00,9.9204
STJOHNS,WS,2011-07-06 05:00:00,6.8232
STJOHNS,WS,2011-07-06 05:00:00,6.7966
STJOHNS,WN,2011-07-06 05:00:00,10.5613
STJOHNS,WS,2011-07-22 05:00:00,6.742
STJOHNS,WS,2011-07-27 05:00:00,6.4686
STJOHNS,WN,2011-07-27 05:00:00,4.5525
STJOHNS,WN,2011-09-13 05:00:00,23.2608
STJOHNS,WS,2011-09-13 05:00:00,2.4728
STJOHNS,WS,2011-10-04 05:00:00,3.2863
STJOHNS,WN,2011-10-04 05:00:00,5.0574
STJOHNS,WN,2011-11-04 05:00:00,4.954
STJOHNS,WS,2011-11-04 05:00:00,3.6416
STJOHNS,WN,2011-12-14 05:00:00,3.5453
STJOHNS,WS,2011-12-14 05:00:00,2.6667
STJOHNS,WS,2011-12-27 05:00:00,2.2691
STJOHNS,WN,2011-12-27 05:00:00,2.997
STJOHNS,WN,2012-01-19 05:00:00,3.3362
STJOHNS,WS,2012-01-19 05:00:00,2.3586
STJOHNS,WN,2012-01-24 05:00:00,2.9252
STJOHNS,WS,2012-01-24 05:00:00,2.0058
STJOHNS,WN,2012-02-14 05:00:00,3.3717
STJOHNS,WS,2012-02-14 05:00:00,2.1517
STJOHNS,WS,2012-02-29 05:00:00,1.662
STJOHNS,WN,2012-02-29 05:00:00,1.9899
STJOHNS,WN,2012-03-09 05:00:00,2.6488
STJOHNS,WS,2012-03-09 05:00:00,1.565
STJOHNS,WN,2012-03-22 05:00:00,2.6176
STJOHNS,WS,2012-03-22 05:00:00,1.6158
STJOHNS,WN,2012-03-28 05:00:00,1.6788
STJOHNS,WS,2012-03-28 05:00:00,1.2926
STJOHNS,WS,2012-04-05 05:00:00,1.4622
STJOHNS,WN,2012-04-05 05:00:00,2.3369
STJOHNS,WS,2012-04-20 05:00:00,1.6913
