uniqueid,plotid,timestamp,"Nitrate-N Concentration, mg N / L"
description,,Date and time of measurement,
units,,YYYY-MM-DD HH:MM:SS+-Z,
WATERMAN,11,2014-04-24 05:00:00,1.11782
WATERMAN,8,2014-04-24 05:00:00,0.7194
WATERMAN,6,2014-04-24 05:00:00,0.8074
WATERMAN,4,2014-04-24 05:00:00,0.7293
WATERMAN,12,2014-04-24 05:00:00,0.43296
WATERMAN,1,2014-05-09 05:00:00,1.15654
WATERMAN,11,2014-05-09 05:00:00,1.25444
WATERMAN,12,2014-05-09 05:00:00,0.77902
WATERMAN,4,2014-05-09 05:00:00,1.23926
WATERMAN,6,2014-05-09 05:00:00,0.72292
WATERMAN,8,2014-05-09 05:00:00,0.97174
WATERMAN,4,2014-06-17 05:00:00,0.6204
WATERMAN,11,2014-06-17 05:00:00,1.30702
WATERMAN,8,2014-06-17 05:00:00,0.52536
WATERMAN,1,2014-06-17 05:00:00,1.17282
WATERMAN,12,2014-06-17 05:00:00,0.01958
WATERMAN,6,2014-06-17 05:00:00,0.48224
WATERMAN,8,2014-07-10 05:00:00,0.0
WATERMAN,6,2014-07-10 05:00:00,0.22528
WATERMAN,12,2014-07-10 05:00:00,0.84282
WATERMAN,4,2014-07-10 05:00:00,0.0473
WATERMAN,11,2014-07-10 05:00:00,0.49808
WATERMAN,1,2014-07-10 05:00:00,0.47058
WATERMAN,4,2014-08-29 05:00:00,0.19272
WATERMAN,1,2014-08-29 05:00:00,0.55308
WATERMAN,11,2014-08-29 05:00:00,0.33924
WATERMAN,6,2014-08-29 05:00:00,1.19482
WATERMAN,4,2014-09-07 05:00:00,0.38016
WATERMAN,1,2014-09-07 05:00:00,0.08866
WATERMAN,12,2014-09-07 05:00:00,0.97768
WATERMAN,11,2014-09-07 05:00:00,0.53262
WATERMAN,6,2014-09-07 05:00:00,1.99012
WATERMAN,6,2014-10-23 05:00:00,1.43528
WATERMAN,1,2014-10-23 05:00:00,1.9052
WATERMAN,4,2014-10-23 05:00:00,0.0517
WATERMAN,12,2014-10-23 05:00:00,0.37884
WATERMAN,8,2014-10-23 05:00:00,1.37896
WATERMAN,11,2014-10-23 05:00:00,0.37312
